0.323,text/h323
.spl,application/x-shockwave-flash
.spo,application/spss
.sql,text/x-sql
.src,application/x-wais-source
.sst,application/vnd.ms-pkicertstore
.stl,application/vnd.ms-pkistl
.stm,text/html
.swa,application/x-director
.swf,application/x-shockwave-flash
.sxw,application/vnd.sun.xml.writer
.t,application/x-troff
.tar,application/tar
.tcl,application/x-tcl
.tex,application/x-tex
.tga,image/x-targa
.tgz,application/gzip
.tif,image/tiff
.tiff,image/tiff
.tnef,application/ms-tnef
.tr,application/x-troff
.trm,application/x-msterminal
.tsv,text/tsv
.twb,application/twb
.twbx,application/twb
.txt,text/plain
.uls,text/iuls
.ustar,application/x-ustar
.vcf,text/x-vcard
.vrml,x-world/x-vrml
.vsd,application/vnd.visio
.w3d,application/x-director
.war,application/x-webarchive
.wav,audio/wav
.wcm,application/vnd.ms-works
.wdb,application/vnd.ms-works
.wks,application/vnd.ms-works
.wma,audio/x-ms-wma
.wmf,image/x-wmf
.wmv,video/x-ms-wmv
.wmz,application/x-ms-wmz
.wpd,application/wordperfect
.wps,application/vnd.ms-works
.wri,application/x-mswrite
.wrl,x-world/x-vrml
.wrz,x-world/x-vrml
.xbm,image/x-xbitmap
.xhtml,text/html
.xla,application/vnd.ms-excel
.xlam,application/vnd.ms-excel.addin.macroEnabled.12
.xlc,application/vnd.ms-excel
.xll,application/vnd.ms-excel
.xlm,application/vnd.ms-excel
.xls,application/vnd.ms-excel
.xlsb,application/vnd.ms-excel.sheet.binary.macroEnabled.12
.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xlt,application/vnd.ms-excel
.xltm,application/vnd.ms-excel.template.macroEnabled.12
.xltx,application/vnd.openxmlformats-officedocument.spreadsheetml.template
.xlw,application/vnd.ms-excel
.xml,text/xml
.xpm,image/x-xpixmap
.xps,application/vnd.ms-xpsdocument
.xsl,text/xsl
.xwd,image/x-xwindowdump
.z,application/x-compress
.zip,application/zip
